date,O/N,1W,2W,1M,3M,6M,9M,1Y
20200102,1.4436,2.433,2.334,2.8975,2.994,3.019,3.052,3.086
20200103,1.162,2.349,2.19,2.842,2.96,2.995,3.028,3.071
20200104,1.162,2.349,2.19,2.842,2.96,2.995,3.028,3.071
20200105,1.162,2.349,2.19,2.842,2.96,2.995,3.028,3.071
20200106,1.003,2.219,2.091,2.747,2.92,2.96,3.005,3.05
20200107,1.215,2.259,2.176,2.7,2.899,2.943,2.992,3.04
20200108,1.553,2.32,2.16,2.638,2.881,2.93,2.983,3.032
20200109,1.69,2.47,2.147,2.609,2.867,2.921,2.974,3.021
20200110,1.7722,2.487,2.29,2.619,2.864,2.92,2.972,3.015
20200111,1.7722,2.487,2.29,2.619,2.864,2.92,2.972,3.015
20200112,1.7722,2.487,2.29,2.619,2.864,2.92,2.972,3.015
20200113,2.059,2.522,2.51,2.619,2.858,2.915,2.966,3.014
20200114,2.518,2.654,2.735,2.706,2.862,2.915,2.969,3.013
20200115,2.654,2.717,3.013,2.799,2.865,2.918,2.97,3.012
20200116,2.609,2.663,2.969,2.8,2.868,2.918,2.965,3.007
20200117,2.522,2.64,2.943,2.808,2.868,2.918,2.965,3.005
20200118,2.522,2.64,2.943,2.808,2.868,2.918,2.965,3.005
20200119,2.413,2.608,2.856,2.804,2.863,2.917,2.957,2.997
20200120,2.248,2.607,2.877,2.813,2.86,2.914,2.954,2.997
20200121,1.885,2.601,2.837,2.816,2.859,2.91,2.953,2.995
20200122,1.534,2.607,2.814,2.82,2.858,2.912,2.95,2.995
20200123,2.444,2.549,2.797,2.822,2.858,2.914,2.951,2.995
20200124,2.444,2.549,2.797,2.822,2.858,2.914,2.951,2.995
20200125,2.444,2.549,2.797,2.822,2.858,2.914,2.951,2.995
20200126,2.444,2.549,2.797,2.822,2.858,2.914,2.951,2.995
20200127,2.444,2.549,2.797,2.822,2.858,2.914,2.951,2.995
20200128,2.444,2.549,2.797,2.822,2.858,2.914,2.951,2.995
20200129,2.444,2.549,2.797,2.822,2.858,2.914,2.951,2.995
20200130,2.444,2.549,2.797,2.822,2.858,2.914,2.951,2.995
20200131,2.444,2.549,2.797,2.822,2.858,2.914,2.951,2.995
20200201,2.444,2.549,2.797,2.822,2.858,2.914,2.951,2.995
20200202,2.444,2.549,2.797,2.822,2.858,2.914,2.951,2.995
20200203,2.504,2.607,2.62,2.806,2.852,2.903,2.94,2.98
20200204,2.273,2.416,2.585,2.76,2.824,2.877,2.91,2.959
20200205,2.051,2.343,2.435,2.696,2.799,2.853,2.894,2.936
20200206,1.819,2.366,2.345,2.651,2.776,2.833,2.875,2.913
20200207,1.793,2.306,2.292,2.628,2.753,2.81,2.843,2.897
20200208,1.793,2.306,2.292,2.628,2.753,2.81,2.843,2.897
20200209,1.793,2.306,2.292,2.628,2.753,2.81,2.843,2.897
20200210,1.652,2.289,2.23,2.577,2.723,2.787,2.823,2.877
20200211,1.56,2.225,2.141,2.527,2.679,2.758,2.801,2.856
20200212,1.521,2.286,2.11,2.495,2.639,2.723,2.783,2.845
20200213,1.443,2.324,2.126,2.454,2.605,2.691,2.763,2.834
20200214,1.256,2.233,2.103,2.416,2.565,2.664,2.744,2.817
20200215,1.256,2.233,2.103,2.416,2.565,2.664,2.744,2.817
20200216,1.256,2.233,2.103,2.416,2.565,2.664,2.744,2.817
20200217,1.425,2.261,2.129,2.4,2.545,2.651,2.727,2.807
